idShot,goal,x,y,lastName
20190203236,0,49,-22,Nilsson
20190203237,0,70,-21,Bernier
20190203256,1,82,-6,Saros
20190203264,0,-20,-34,Lehner
20190203269,0,62,-31,Lehner
20190203278,0,67,-13,Markstrom
20190203279,0,45,4,Bishop
20190203289,0,64,18,Grubauer
20190203296,0,63,-22,Fleury
20190203305,0,68,0,Koskinen
20190203355,0,69,22,Greiss
20190203374,0,43,-27,Howard
20190203375,0,40,35,Howard
20190203376,0,55,-38,Korpisalo
20190203386,0,50,21,Binnington
20190203388,0,49,27,Binnington
20190203396,0,67,-26,Markstrom
20190203406,0,34,-12,Stalock
20190203416,0,68,36,Crawford
20190203419,0,55,-3,Crawford
20190203437,0,77,-1,Kuemper
20190203446,0,74,-27,Dell
20190203457,1,68,20,Smith
20190203475,0,43,37,Lundqvist
20190203476,0,81,-26,Lundqvist
20190203477,1,65,24,Lundqvist
20190203485,0,36,-30,Markstrom
20190203494,0,45,32,Rittich
20190203505,0,79,-5,Quick
20190203516,0,81,-3,Rask
20190203547,0,1,-20,Bernier
20190203565,0,62,35,Brossoit
20190203574,1,37,5,Andersen
20190203584,0,62,-31,Binnington
20190203585,1,57,19,Binnington
20190203587,0,55,-1,Binnington
20190203599,0,62,18,Khudobin
20190203605,0,34,36,Fleury
20190203609,0,23,34,Smith
20190203619,0,79,1,Varlamov
20190203626,0,35,31,Ullmark
20190203634,0,64,-22,Howard
20190203646,0,81,-9,Koskinen
20190203655,1,61,-13,Hutton
20190203658,0,30,3,Hutton
20190203659,0,74,-14,Vasilevskiy
20190203666,0,80,-2,Lundqvist
20190203668,0,63,33,Stalock
20190203675,0,30,31,Hart
20190203695,0,84,-5,Korpisalo
20190203699,0,37,30,Anderson
20190203704,0,53,-1,Saros
20190203745,0,15,31,Halak
20190203748,0,60,-1,Halak
20190203766,0,63,20,Crawford
20190203769,0,71,-1,Crawford
20190203774,0,62,-37,Ullmark
20190203777,0,67,-37,Rittich
20190203794,0,43,35,Howard
20190203795,0,-18,11,Andersen
20190203797,0,34,9,Howard
20190203798,1,84,-13,Howard
20190203806,0,64,12,Binnington
20190203808,0,61,14,Binnington
20190203829,0,79,-15,Demko
20190203834,0,87,-9,Bobrovsky
20190203837,0,63,38,Holtby
20190203846,0,69,-15,Korpisalo
20190203856,0,79,16,Saros
20190203877,0,77,-13,Grubauer
20190203879,0,78,35,Grubauer
20190203886,0,32,-17,Quick
20190203894,0,66,-35,Dell
20190203904,0,64,-26,Blackwood
20190203907,0,33,-39,Blackwood
20190203914,0,48,22,Halak
20190203917,0,42,-21,Lundqvist
20190203924,0,33,-34,Hutchinson
20190203925,0,75,-5,Hutchinson
20190203936,0,90,-15,Hart
20190203966,0,77,-28,Gibson
20190203984,0,-7,40,Holtby
20190203996,0,40,3,Subban
20190204004,0,83,3,Jarry
20190204015,0,62,-7,Rinne
20190204026,0,63,14,Bishop
20190204027,0,-91,-14,Bishop
20190204037,0,3,-39,Blackwood
20190204044,1,66,-30,Elliott
20190204048,0,62,1,Elliott
20190204064,0,80,8,Bernier
20190204068,0,72,-2,Samsonov
20190204069,0,65,7,Samsonov
20190204074,0,76,-13,McElhinney
20190204075,0,78,27,McElhinney
20190204087,0,83,23,Driedger
20190204095,1,70,-5,Merzlikins
20190204097,0,41,-2,Greiss
20190204098,0,68,-3,Greiss
20190204118,0,66,8,Binnington
20190204129,1,86,17,Jones
20190204156,0,48,-29,Campbell
20190204165,0,85,10,Stalock
20190204169,0,46,29,Stalock
20190204187,0,76,-17,Markstrom
20190204204,0,43,-33,Lundqvist
20190204205,0,49,-8,Lundqvist
20190204217,0,35,-16,Varlamov
20190204218,0,78,-8,Varlamov
20190204228,0,66,37,Crawford
20190204246,0,52,15,Reimer
20190204255,0,75,-8,Greiss
20190204264,0,72,-11,Kahkonen
20190204274,0,83,23,Subban
20190204279,0,56,0,Subban
20190204285,0,60,-24,Hart
20190204286,0,58,-3,Andersen
20190204288,0,36,-34,Hart
20190204289,0,68,11,Hart
20190204294,0,85,10,Kuemper
20190204297,0,9,37,Kuemper
20190204307,0,59,19,Vasilevskiy
20190204326,0,72,13,Demko
20190204327,0,47,-4,Nilsson
20190204329,0,72,16,Nilsson
20190204335,0,-62,-41,Holtby
20190204344,0,13,-33,Andersen
20190204346,0,61,32,Grubauer
20190204349,0,34,27,Grubauer
20190204358,1,77,3,Binnington
20190204374,0,82,0,Samsonov
20190204377,0,33,28,Samsonov
20190204384,0,69,23,Lehner
20190204387,0,59,6,Lehner
20190204394,0,82,-1,Francouz
20190204407,1,70,3,Stalock
20190204428,0,21,-39,Kuemper
20190204436,0,89,-4,Mrazek
20190204437,1,81,-4,Dell
20190204444,0,39,26,Korpisalo
20190204448,0,83,-23,Georgiev
20190204457,0,78,-18,Hellebuyck
20190204466,0,33,-15,Ullmark
20190204495,0,5,31,Jarry
20190204516,0,71,-11,Miller
20190204528,0,-9,31,Anderson
20190204535,0,55,33,Hutton
20190204544,0,47,-4,Halak
20190204549,0,45,8,Halak
20190204559,0,69,-20,Bernier
20190204569,0,69,12,Jones
20190204577,1,78,10,Merzlikins
20190204579,0,67,7,Bobrovsky
20190204587,0,89,-7,Mrazek
20190204588,0,78,-1,Mrazek
20190204598,0,48,20,Binnington
20190204607,0,41,-31,Domingue
20190204608,1,69,4,Domingue
20190204617,0,70,2,Bishop
20190204626,0,35,-14,Talbot
20190204654,0,22,-32,Lehner
20190204659,1,83,8,Kuemper
20190204664,0,82,-3,Georgiev
20190204667,0,33,-27,Subban
20190204675,0,88,4,Ullmark
20190204679,0,46,11,Smith
20190204715,0,72,-2,Rittich
20190204724,1,81,4,Allen
20190204727,0,32,-31,Ullmark
20190204736,0,54,-10,Vasilevskiy
20190204739,0,39,-21,Bobrovsky
20190204746,0,48,26,Price
20190204749,0,81,13,Jarry
20190204767,0,55,-24,Kahkonen
20190204778,0,72,-2,Brossoit
20190204786,0,67,29,Blackwood
20190204789,0,81,-22,Blackwood
20190204804,0,67,-12,Talbot
20190204815,0,53,-20,Andersen
20190204834,0,53,29,Lundqvist
20190204837,0,6,-29,Quick
20190204838,0,35,29,Lundqvist
20190204864,0,66,-38,Francouz
20190204865,0,40,-19,Francouz
20190204879,0,53,-32,Saros
20190204889,0,55,-21,Rask
20190204894,0,48,-28,Bobrovsky
20190204899,0,85,24,Greiss
20190204905,0,77,-5,Korpisalo
20190204915,0,74,10,Hellebuyck
20190204924,0,86,22,Binnington
20190204929,0,91,-8,Fleury
20190204947,0,39,-33,Rittich
20190204956,0,48,-34,Lehner
20190204958,0,79,2,Lehner
20190204959,0,81,19,Kuemper
20190204965,0,31,2,Markstrom
20190204976,0,81,24,Gibson
20190204979,0,32,-28,Quick
20190204996,0,74,13,Bishop
20190204999,0,36,32,Bishop
20190205009,0,51,2,Francouz
20190205015,0,38,27,Nilsson
20190205017,0,54,-1,Nilsson
20190205018,0,0,3,Merzlikins
20190205036,0,37,25,Reimer
20190205045,1,78,3,Gibson
20190205047,0,79,0,Gibson
20190205065,0,33,31,Bernier
20190205077,0,57,21,Samsonov
20190205086,0,74,-18,Bobrovsky
20190205087,0,72,12,Bobrovsky
20190205088,0,61,40,Bobrovsky
20190205096,0,60,12,Jarry
20190205097,0,62,10,Jarry
20190205108,1,15,-30,Stalock
20190205139,0,64,24,Kuemper
20190205147,0,81,12,Markstrom
20190205149,0,5,34,Markstrom
20190205157,0,81,-2,Elliott
20190205159,0,60,-1,Elliott
20190205169,0,63,22,Comrie
20190205174,0,72,-2,Lehner
20190205175,0,84,-6,Lehner
20190205176,0,50,16,Kahkonen
20190205195,0,60,-27,Nilsson
20190205214,0,50,0,Holtby
20190205219,0,62,12,Holtby
20190205227,0,71,6,Grubauer
20190205237,0,47,25,Koskinen
20190205259,0,60,-2,Andersen
20190205284,0,87,15,Gibson
20190205295,0,33,-32,Bernier
20190205297,0,85,-16,Korpisalo
20190205314,0,73,-12,Talbot
20190205328,0,19,10,Price
20190205334,0,58,-24,Stalock
20190205338,0,35,25,Stalock
20190205355,0,86,9,Miller
20190205359,0,57,14,Miller
20190205369,0,82,-1,Crawford
20190205377,0,21,0,Allen
20190205397,0,74,-23,Khudobin
20190205398,0,48,15,Khudobin
20190205407,0,67,15,Hutton
20190205417,0,44,20,Korpisalo
20190205418,1,84,1,Korpisalo
20190205436,1,81,-5,Hellebuyck
20190205444,0,34,31,Grubauer
20190205448,0,-93,16,Grubauer
20190205454,0,46,24,Rittich
20190205455,0,72,34,Price
20190205475,0,63,-10,Markstrom
20190205478,0,69,-37,Markstrom
20190205487,0,47,19,Bobrovsky
20190205488,0,87,27,Bishop
20190205534,0,51,20,Varlamov
20190205539,0,52,-24,Gibson
20190205544,0,31,-27,Stalock
20190205545,0,77,-1,Hellebuyck
20190205557,0,56,8,Rinne
20190205565,0,74,-17,Hutchinson
20190205567,0,81,-9,Hutchinson
20190205569,0,49,-1,Hutchinson
20190205577,0,17,41,Hogberg
20190205594,0,11,-34,Driedger
20190205604,1,58,1,Senn
20190205649,0,36,0,Allen
20190205659,0,57,-18,Miller
20190205664,0,78,-6,Howard
20190205679,0,40,25,Bishop
20190205685,0,48,29,Subban
20190205687,0,41,37,Subban
20190205688,0,66,-22,Dell
20190205698,0,85,-11,Reimer
20190205699,1,77,1,Reimer
20190205704,0,38,32,Dubnyk
20190205714,0,49,-26,Holtby
20190205726,1,80,-1,Bobrovsky
20190205744,0,75,0,Lundqvist
20190205745,0,37,-5,Lundqvist
20190205764,0,31,33,Raanta
20190205767,0,83,18,Raanta
20190205769,0,31,-10,Raanta
20190205774,0,72,-8,Price
20190205775,0,79,-5,Price
20190205776,0,34,33,Brossoit
20190205795,0,37,30,Markstrom
20190205798,0,61,37,Markstrom
20190205807,0,74,-28,Francouz
20190205814,0,78,8,Quick
20190205817,0,35,36,Quick
20190205819,0,68,-32,Quick
20190205824,0,69,-5,Halak
20190205827,0,62,-16,Ullmark
20190205836,0,46,-15,Hutchinson
20190205837,0,59,-17,Blackwood
20190205838,0,78,11,Blackwood
20190205848,0,82,23,Lundqvist
20190205857,0,81,2,Samsonov
20190205869,1,71,29,Rinne
20190205876,1,35,3,Hellebuyck
20190205879,0,35,-25,Binnington
20190205887,0,33,2,Dubnyk
20190205894,0,36,15,Greiss
20190205898,0,74,-18,Greiss
20190205905,1,75,-4,Koskinen
20190205909,0,23,10,Koskinen
20190205915,0,79,-4,Subban
20190205929,0,48,-7,Dell
20190205934,0,37,38,Andersen
20190205937,0,32,-20,Andersen
20190205956,0,49,-28,Howard
20190205957,0,48,-35,Howard
20190205967,0,69,3,Saros
20190205968,1,81,1,Saros
20190205977,0,84,-9,Holtby
20190205989,1,82,5,Grubauer
20190205997,0,48,30,Markstrom
20190206007,0,55,21,Raanta
20190206025,0,46,0,Binnington
20190206028,0,68,-12,Hellebuyck
20190206035,0,-21,37,Blackwood
20190206038,0,65,20,Blackwood
20190206047,0,4,18,Korpisalo
20190206055,0,87,-25,Dubnyk
20190206057,0,36,-20,Dubnyk
20190206066,0,58,-32,Rask
20190206068,0,36,-32,Rask
20190206075,0,67,-4,Bernier
20190206079,0,38,20,McElhinney
20190206086,0,85,-9,Price
20190206094,0,54,0,Khudobin
20190206104,0,34,-17,Elliott
20190206106,1,36,-27,Elliott
20190206108,0,46,15,Gibson
20190206116,0,60,-1,Demko
20190206126,1,59,18,Hogberg
20190206134,0,82,24,Blackwood
20190206137,0,60,-31,Blackwood
20190206138,0,52,20,Blackwood
20190206139,1,85,0,Blackwood
20190206154,0,81,-25,Fleury
20190206157,0,-7,-40,Gibson
20190206159,0,30,-19,Gibson
20190206169,0,31,-16,Dubnyk
20190206175,0,36,-34,Ullmark
20190206176,0,68,2,Vasilevskiy
20190206177,0,81,-6,Vasilevskiy
20190206196,0,40,6,Merzlikins
20190206205,0,63,-2,Jones
20190206217,0,84,-36,Hellebuyck
20190206218,0,36,-20,Hellebuyck
20190206219,0,7,32,Hellebuyck
20190206225,0,45,30,Lehner
20190206229,0,51,0,Rittich
20190206234,1,81,4,Georgiev
20190206238,0,60,12,Georgiev
20190206239,0,81,5,Georgiev
20190206248,0,54,-23,Allen
20190206249,0,52,15,Allen
20190206254,0,83,-4,Quick
20190206255,0,86,0,Quick
20190206258,0,74,-27,Elliott
20190206274,0,79,-1,Rask
20190206297,1,68,0,Price
20190206299,0,38,-20,Price
20190206314,0,76,-16,Jarry
20190206324,0,12,-32,Bobrovsky
20190206325,0,54,16,Anderson
20190206326,0,87,8,Bobrovsky
20190206338,0,69,17,Andersen
20190206359,0,32,7,Lundqvist
20190206368,0,57,-2,Gibson
20190206375,0,76,-8,Markstrom
20190206387,0,42,-22,Fleury
20190206396,0,83,8,Samsonov
20190206399,0,41,-20,Samsonov
20190206405,0,77,4,Bernier
20190206406,0,31,26,Khudobin
20190206415,0,71,33,Halak
20190206418,0,41,-20,Smith
20190206425,0,33,-13,Merzlikins
20190206446,0,47,22,Allen
20190206449,0,66,-10,Allen
20190206456,0,35,-35,Bobrovsky
20190206457,0,80,-5,Bobrovsky
20190206466,0,31,-25,Hutchinson
20190206475,0,50,14,Price
20190206477,0,79,6,Price
